27,14,18,10,1
12,4,9,8,1
1,17,7,36,0
38,15,18,1,1
2,55,4,11,0
2,0,6,32,0
2,8,8,4,1
26,1,10,8,1
56,7,20,8,1
7,5,4,42,0
58,16,19,3,1
1,9,10,6,1
34,7,7,7,1
1,56,3,10,0
6,95,6,47,0
7,51,6,33,0
26,15,16,10,1
3,49,2,48,0
34,4,10,2,1
18,16,19,9,1
32,17,6,10,1
46,5,18,7,1
57,0,6,9,1
1,68,7,32,0
3,79,1,48,0
5,12,14,0,1
7,32,6,40,0
2,79,4,29,0
4,94,3,50,0
38,16,14,4,1
7,9,6,0,1
7,16,1,10,0
2,59,5,21,0
4,89,2,23,0
40,4,3,10,1
6,16,11,7,1
7,96,6,22,0
7,78,3,39,0
5,46,1,34,0
5,89,2,30,0
5,95,4,12,0
16,6,15,0,1
1,77,2,48,0
7,96,5,40,0
11,4,15,1,1
6,96,7,15,0
32,10,18,5,1
2,74,6,47,0
9,15,6,10,1
3,14,7,21,0
57,5,15,4,1
4,19,11,10,1
4,14,4,37,0
38,7,3,4,1
7,26,3,28,0
7,28,3,36,0
4,54,4,48,0
13,13,6,4,1
7,84,2,11,0
3,33,1,40,0
4,3,7,7,1
14,3,4,1,1
2,22,2,41,0
3,78,6,18,0
5,91,6,25,0
24,20,3,8,1
5,79,6,30,0
6,61,7,44,0
36,6,20,10,1
40,6,19,8,1
59,14,18,10,1
7,29,5,20,0
6,99,3,34,0
5,65,6,35,0
43,11,4,1,1
5,34,1,30,0
24,13,8,10,1
10,16,7,7,1
35,17,13,3,1
35,12,18,0,1
53,19,3,1,1
39,9,14,7,1
4,58,7,40,0
6,49,1,37,0
5,68,6,36,0
21,157,3,3,1
33,2,16,4,1
1,59,2,36,0
2,78,5,11,0
17,908,10,2,1
47,0,3,3,1
21,13,19,6,1
7,18,2,28,0
5,49,3,31,0
6,22,6,49,0
30,15,10,2,1
56,6,8,5,1
6,54,1,44,0
4,19,5,49,0
4,12,6,36,0
53,13,10,5,1
41,19,59,2,1
30,9,15,6,1
34,6,12,10,1
5,99,4,37,0
3,99,3,14,0
57,12,15,8,1
6,29,5,16,0
2,26,6,46,0
48,17,6,6,1
41,4,5,5,1
5,41,5,14,0
5,36,6,50,0
2,87,2,19,0
3,22,3,26,0
5,18,12,2,1
1,73,7,13,0
25,0,16,2,1
5,50,4,23,0
26,17,10,6,1
42,4,3,60,1
2,76,6,44,0
59,12,9,0,1
6,69,3,36,0
34,7,20,5,1
19,7,90,10,1
4,72,4,23,0
5,26,4,22,0
1,34,2,24,0
5,15,5,38,1
13,9,16,0,1
2,38,5,35,0
17,5,13,7,1
4,38,6,26,0
51,2,9,2,1
21,180,19,3,1
6,89,2,49,0
